post_id,post_date,platform,content_type,campaign,category,posting_hour,followers,impressions,reach,likes,comments,shares,saves,total_engagement,engagement_rate,reach_rate
POST00001,2025-01-01 00:00:00,Instagram,Image,Seasonal Campaign,Promotional,11,179009,303095,272683,15164,865,3260,4485,23774,8.718548644396606,152.32921249769564
POST00002,2025-01-01 03:00:00,Linkedin,Image,Special Campaign,Community,21,40563,44467,37499,2250,48,320,438,3056,8.149550654684125,92.44631807312082
POST00003,2025-01-01 06:00:00,Facebook,Video,Event Promotion,Event,11,488084,883356,497420,23886,945,4756,5156,34743,6.984640746250653,101.91278550413455
POST00004,2025-01-01 09:00:00,Youtube,Reel,Product Launch,Brand,7,319719,718956,444832,31144,787,6710,10142,48783,10.966612114236387,139.13217544155964
POST00005,2025-01-01 12:00:00,Instagram,Video,Educational Series,Entertainment,9,279605,682294,420612,14336,850,7064,4299,26549,6.311993000675206,150.43078628779887
POST00006,2025-01-01 15:00:00,Instagram,Reel,Special Campaign,Community,15,27386,27924,20120,2145,86,334,307,2872,14.274353876739562,73.46819542832104
POST00007,2025-01-01 18:00:00,Instagram,Video,Community Campaign,Community,19,120244,340434,282245,28808,855,754,6253,36670,12.992258498821945,234.7268886597252
POST00008,2025-01-01 21:00:00,Linkedin,Video,Festival Campaign,Promotional,7,79150,106997,73658,1986,86,1310,356,3738,5.074805180699992,93.0612760581175
POST00009,2025-01-02 00:00:00,Facebook,Reel,Festival Campaign,Brand,8,180644,279488,242764,16908,947,2751,5708,26314,10.83933367385609,134.3880782090742
POST00010,2025-01-02 03:00:00,Facebook,Image,Festival Campaign,Community,12,408197,261724,205490,15462,803,905,3700,20870,10.156211981118304,50.34088932549725
POST00011,2025-01-02 06:00:00,Instagram,Reel,Seasonal Campaign,Brand,19,186343,256000,220583,12848,524,2176,3528,19076,8.647991912341386,118.37471759067955
POST00012,2025-01-02 09:00:00,Linkedin,Carousel,Community Campaign,Community,16,200882,254047,175989,9442,380,1682,1369,12873,7.314661711811533,87.60814806702443
POST00013,2025-01-02 12:00:00,Facebook,Image,Brand Awareness,Promotional,18,477476,347632,250478,17806,813,1681,1052,21352,8.524501153793947,52.458762325226814
POST00014,2025-01-02 15:00:00,Instagram,Carousel,Community Campaign,Entertainment,16,96566,92313,55164,1582,57,455,286,2380,4.31440794721195,57.12569641488723
POST00015,2025-01-02 18:00:00,Instagram,Reel,Brand Awareness,Promotional,6,164210,208756,138885,9633,298,705,975,11611,8.360154084314361,84.57767492844528
POST00016,2025-01-02 21:00:00,Instagram,Reel,Festival Campaign,Community,0,149549,307143,248573,25626,453,3348,876,30303,12.190785000784478,166.21508669399327
POST00017,2025-01-03 00:00:00,Instagram,Reel,Event Promotion,Brand,19,198441,398901,341335,25055,1255,5485,5748,37543,10.998872075819941,172.00830473541254
POST00018,2025-01-03 03:00:00,Youtube,Reel,Event Promotion,Education,13,166718,382229,302439,16370,794,1575,6629,25368,8.387807128048962,181.4075264818436
POST00019,2025-01-03 06:00:00,Youtube,Image,Special Campaign,Promotional,16,48812,42672,28379,1779,79,166,445,2469,8.700095140773106,58.13939195279849
POST00020,2025-01-03 09:00:00,Instagram,Video,Brand Awareness,Brand,12,108958,123110,83959,5624,281,726,1848,8479,10.098976881573149,77.05629692174966
POST00021,2025-01-03 12:00:00,Facebook,Carousel,Festival Campaign,Promotional,1,358325,305188,169059,12178,576,1066,1916,15736,9.307993067508976,47.18035303146585
POST00022,2025-01-03 15:00:00,Instagram,Image,Community Campaign,Community,13,296772,437868,256223,8078,431,1136,6008,15653,6.109131498733525,86.33664901001443
POST00023,2025-01-03 18:00:00,Instagram,Text,Event Promotion,Brand,0,44486,29446,16753,698,24,179,380,1281,7.64639169104041,37.659038798723195
POST00024,2025-01-03 21:00:00,Instagram,Carousel,Brand Awareness,Entertainment,4,406078,389590,267803,11422,590,1061,4047,17120,6.392758856323491,65.9486601096341
POST00025,2025-01-04 00:00:00,Youtube,Text,Special Campaign,Brand,6,281290,167968,109097,2376,53,871,1453,4753,4.356673419067436,38.784528422624334
POST00026,2025-01-04 03:00:00,Facebook,Image,Community Campaign,Event,18,321410,279647,250714,9754,481,1258,4911,16404,6.542913439217594,78.00441803304192
POST00027,2025-01-04 06:00:00,Instagram,Reel,Festival Campaign,Education,13,370412,799827,564411,54396,1711,9120,11509,76736,13.595766205832275,152.37384318002657
POST00028,2025-01-04 09:00:00,Youtube,Reel,Product Launch,Community,23,66557,96567,83059,4611,186,1073,1530,7400,8.909329512755992,124.79378577760416
POST00029,2025-01-04 12:00:00,Youtube,Carousel,Festival Campaign,Brand,13,236033,196300,149245,4763,228,1732,1056,7779,5.212234915742571,63.23056521757551
POST00030,2025-01-04 15:00:00,Instagram,Reel,Seasonal Campaign,Community,14,228803,286934,191205,21192,949,1834,3413,27388,14.323893203629613,83.56752315310551
POST00031,2025-01-04 18:00:00,Facebook,Reel,Festival Campaign,Promotional,4,235330,217528,176514,16555,948,2203,2637,22343,12.65791948513999,75.0070114307568
POST00032,2025-01-04 21:00:00,Instagram,Image,Special Campaign,Promotional,4,36494,49519,40389,1144,67,385,472,2068,5.120205996682265,110.67298734038471
POST00033,2025-01-05 00:00:00,Instagram,Image,Community Campaign,Brand,20,434787,520085,359647,9508,175,1209,7047,17939,4.987946514220889,82.71797454845706
POST00034,2025-01-05 03:00:00,Linkedin,Carousel,Special Campaign,Event,23,316630,165336,146866,9471,423,2005,3278,15177,10.33390982255934,46.384107633515455
POST00035,2025-01-05 06:00:00,Linkedin,Reel,Community Campaign,Brand,1,239508,180070,159091,13681,308,2045,847,16881,10.610908222338159,66.42408604305493
POST00036,2025-01-05 09:00:00,Facebook,Image,Educational Series,Entertainment,17,81635,79296,67604,5795,203,795,401,7194,10.641382166735697,82.81251914007473
POST00037,2025-01-05 12:00:00,Instagram,Carousel,Educational Series,Event,23,151197,195942,143366,11114,389,1929,1029,14461,10.086770921975923,94.82066443117257
POST00038,2025-01-05 15:00:00,Instagram,Text,Community Campaign,Community,8,68814,49226,37765,964,45,305,789,2103,5.568648219250629,54.879820966663765
POST00039,2025-01-05 18:00:00,Facebook,Carousel,Community Campaign,Brand,9,143141,173807,102442,3446,69,1429,905,5849,5.709572245758576,71.56719598158459
POST00040,2025-01-05 21:00:00,Youtube,Text,Product Launch,Community,17,432534,470586,384479,8914,341,1592,9206,20053,5.215629462207299,88.88989073691317
POST00041,2025-01-06 00:00:00,Instagram,Video,Product Launch,Education,3,82363,68161,47214,1504,69,234,337,2144,4.541025966874232,57.324283962458864
POST00042,2025-01-06 03:00:00,Youtube,Image,Festival Campaign,Event,7,63162,47138,38090,2539,28,77,124,2768,7.2669992123917035,60.305246825623
POST00043,2025-01-06 06:00:00,Instagram,Reel,Special Campaign,Brand,17,267364,440261,299019,25350,1145,5441,1159,33095,11.067858564171509,111.83966427791326
POST00044,2025-01-06 09:00:00,Linkedin,Carousel,Seasonal Campaign,Education,19,147083,176366,109211,6783,282,933,1092,9090,8.323337392753476,74.25127309070389
POST00045,2025-01-06 12:00:00,Instagram,Carousel,Special Campaign,Brand,16,27590,51226,34477,1847,41,91,742,2721,7.892218000406068,124.96194273287422
POST00046,2025-01-06 15:00:00,Facebook,Carousel,Event Promotion,Entertainment,15,316994,328092,251505,13350,696,1436,2668,18150,7.216556330888054,79.34061843441832
POST00047,2025-01-06 18:00:00,Instagram,Image,Special Campaign,Promotional,17,425350,615020,412351,10872,534,1298,6130,18834,4.567468006625424,96.94392852944634
POST00048,2025-01-06 21:00:00,Youtube,Image,Seasonal Campaign,Community,6,412235,264129,174897,4749,66,1548,583,6946,3.9714803570101256,42.42652855774012
POST00049,2025-01-07 00:00:00,Youtube,Reel,Product Launch,Brand,0,307374,549715,492206,41070,2031,8300,1817,53218,10.812139632592856,160.1326071821299
POST00050,2025-01-07 03:00:00,Instagram,Image,Festival Campaign,Event,0,297202,345062,297348,18919,928,1561,3094,24502,8.240176493536193,100.04912483765251
POST00051,2025-01-07 06:00:00,Linkedin,Reel,Seasonal Campaign,Brand,17,99837,113944,63723,3705,139,795,1013,5652,8.869638905889552,63.82703807205745
POST00052,2025-01-07 09:00:00,Facebook,Video,Special Campaign,Brand,3,123397,71918,44821,3509,202,546,823,5080,11.33397291448205,36.32260103568158
POST00053,2025-01-07 12:00:00,Linkedin,Reel,Brand Awareness,Brand,22,309183,156152,129243,8891,203,2268,2135,13497,10.443118776258675,41.80145738931312
POST00054,2025-01-07 15:00:00,Linkedin,Reel,Educational Series,Brand,19,272903,388733,344843,20184,648,3880,1327,26039,7.550972471530523,126.36101471951574
POST00055,2025-01-07 18:00:00,Youtube,Image,Seasonal Campaign,Event,20,216892,188886,159283,10711,180,1420,2332,14643,9.193071451441774,73.43885436069564
POST00056,2025-01-07 21:00:00,Linkedin,Carousel,Event Promotion,Event,19,320478,245070,175010,5019,184,1714,3822,10739,6.136220787383579,54.60905272748832
POST00057,2025-01-08 00:00:00,Instagram,Image,Festival Campaign,Brand,3,63525,40681,32952,1558,66,171,746,2541,7.711216314639476,51.87249114521841
POST00058,2025-01-08 03:00:00,Instagram,Reel,Seasonal Campaign,Promotional,5,146681,116328,66579,5115,103,1176,1533,7927,11.906156595923639,45.39033685344387
POST00059,2025-01-08 06:00:00,Instagram,Image,Community Campaign,Brand,2,104194,99728,84905,5758,256,793,406,7213,8.495377186267005,81.4874177015951
